id	item_type_id	serial_number	owner	register_number	model	manufacturer	place_id	situation_id	foto	manual	datasheet	acquisition_date	maintenance_date	calibration_date	observation
24	9	61441800	PNBOIA	43	MP101A	ROTRONIC	2	0	https://www.rotronic.com/media/catalog/product/cache/6/image/9df78eab33525d08d6e5fb8d27136e95/m/p/mp10xa_40xa.jpg	https://www.rotronic.com/en/productattachments/index/download?id=300	https://www.rotronic.com/en/mp10xa-mp40xa.html				Avariado
25	9	61441772	PNBOIA	37	MP101A	ROTRONIC	2	0	https://www.rotronic.com/media/catalog/product/cache/6/image/9df78eab33525d08d6e5fb8d27136e95/m/p/mp10xa_40xa.jpg	https://www.rotronic.com/en/productattachments/index/download?id=300	https://www.rotronic.com/en/mp10xa-mp40xa.html				Mal funcionamento. OUT2018
26	9	61441780	PNBOIA	26	MP101A	ROTRONIC	2	0	https://www.rotronic.com/media/catalog/product/cache/6/image/9df78eab33525d08d6e5fb8d27136e95/m/p/mp10xa_40xa.jpg	https://www.rotronic.com/en/productattachments/index/download?id=300	https://www.rotronic.com/en/mp10xa-mp40xa.html				Mal funcionamento. OUT2018
27	9	61251843	PNBOIA	36	MP101A	ROTRONIC	2	0	https://www.rotronic.com/media/catalog/product/cache/6/image/9df78eab33525d08d6e5fb8d27136e95/m/p/mp10xa_40xa.jpg	https://www.rotronic.com/en/productattachments/index/download?id=301	https://www.rotronic.com/en/mp10xa-mp40xa.html				Avariado
28	9	60308704	PNBOIA	38	MP101A	ROTRONIC	2	0	https://www.rotronic.com/media/catalog/product/cache/6/image/9df78eab33525d08d6e5fb8d27136e95/m/p/mp10xa_40xa.jpg	https://www.rotronic.com/en/productattachments/index/download?id=301	https://www.rotronic.com/en/mp10xa-mp40xa.html				Avariado
29	9	60494894	PNBOIA	42	MP101A	ROTRONIC	2	0	https://www.rotronic.com/media/catalog/product/cache/6/image/9df78eab33525d08d6e5fb8d27136e95/m/p/mp10xa_40xa.jpg	https://www.rotronic.com/en/productattachments/index/download?id=301	https://www.rotronic.com/en/mp10xa-mp40xa.html				Avariado
30	9	148784	PNBOIA	48	MP101A	ROTRONIC	2	1	https://www.rotronic.com/media/catalog/product/cache/6/image/9df78eab33525d08d6e5fb8d27136e95/m/p/mp10xa_40xa.jpg	https://www.rotronic.com/en/productattachments/index/download?id=301	https://www.rotronic.com/en/mp10xa-mp40xa.html			12/08/2020	Necessário realizar teste
31	9	60424709	PNBOIA	41	MP101A	ROTRONIC	2	0	https://www.rotronic.com/media/catalog/product/cache/6/image/9df78eab33525d08d6e5fb8d27136e95/m/p/mp10xa_40xa.jpg	https://www.rotronic.com/en/productattachments/index/download?id=302	https://www.rotronic.com/en/mp10xa-mp40xa.html				Mal funcionamento
32	9	61441799	PNBOIA	27	MP101A	ROTRONIC	2	1	https://www.rotronic.com/media/catalog/product/cache/6/image/9df78eab33525d08d6e5fb8d27136e95/m/p/mp10xa_40xa.jpg	https://www.rotronic.com/en/productattachments/index/download?id=302	https://www.rotronic.com/en/mp10xa-mp40xa.html				Necessário realizar teste
33	9	61441791	PNBOIA	32	MP101A	ROTRONIC	2	1	https://www.rotronic.com/media/catalog/product/cache/6/image/9df78eab33525d08d6e5fb8d27136e95/m/p/mp10xa_40xa.jpg	https://www.rotronic.com/en/productattachments/index/download?id=302	https://www.rotronic.com/en/mp10xa-mp40xa.html				Necessário realizar teste
34	9	61372495	PNBOIA	24	MP101A	ROTRONIC	2	0	https://www.rotronic.com/media/catalog/product/cache/6/image/9df78eab33525d08d6e5fb8d27136e95/m/p/mp10xa_40xa.jpg	https://www.rotronic.com/en/productattachments/index/download?id=302	https://www.rotronic.com/en/mp10xa-mp40xa.html				Avariado
35	9	61251847	PNBOIA	23	MP101A	ROTRONIC	2	1	https://www.rotronic.com/media/catalog/product/cache/6/image/9df78eab33525d08d6e5fb8d27136e95/m/p/mp10xa_40xa.jpg	https://www.rotronic.com/en/productattachments/index/download?id=303	https://www.rotronic.com/en/mp10xa-mp40xa.html				Necessário realizar teste
36	9	61441779	PNBOIA	45	MP101A	ROTRONIC	2	1	https://www.rotronic.com/media/catalog/product/cache/6/image/9df78eab33525d08d6e5fb8d27136e95/m/p/mp10xa_40xa.jpg	https://www.rotronic.com/en/productattachments/index/download?id=303	https://www.rotronic.com/en/mp10xa-mp40xa.html				Necessário realizar teste
37	9	61441797	PNBOIA	44	MP101A	ROTRONIC	2	0	https://www.rotronic.com/media/catalog/product/cache/6/image/9df78eab33525d08d6e5fb8d27136e95/m/p/mp10xa_40xa.jpg	https://www.rotronic.com/en/productattachments/index/download?id=303	https://www.rotronic.com/en/mp10xa-mp40xa.html				Avariado
38	9	61251845	PNBOIA	40	MP101A	ROTRONIC	2	0	https://www.rotronic.com/media/catalog/product/cache/6/image/9df78eab33525d08d6e5fb8d27136e95/m/p/mp10xa_40xa.jpg	https://www.rotronic.com/en/productattachments/index/download?id=303	https://www.rotronic.com/en/mp10xa-mp40xa.html				Avariado
39	9	60424713	PNBOIA	33	MP101A	ROTRONIC	2	0	https://www.rotronic.com/media/catalog/product/cache/6/image/9df78eab33525d08d6e5fb8d27136e95/m/p/mp10xa_40xa.jpg	https://www.rotronic.com/en/productattachments/index/download?id=304	https://www.rotronic.com/en/mp10xa-mp40xa.html				Avariado
40	9	148778	PNBOIA	35	MP101A	ROTRONIC	2	1	https://www.rotronic.com/media/catalog/product/cache/6/image/9df78eab33525d08d6e5fb8d27136e95/m/p/mp10xa_40xa.jpg	https://www.rotronic.com/en/productattachments/index/download?id=304	https://www.rotronic.com/en/mp10xa-mp40xa.html				Necessário realizar teste (2008)
41	9	60494895	PNBOIA	34	MP101A	ROTRONIC	2	1	https://www.rotronic.com/media/catalog/product/cache/6/image/9df78eab33525d08d6e5fb8d27136e95/m/p/mp10xa_40xa.jpg	https://www.rotronic.com/en/productattachments/index/download?id=304	https://www.rotronic.com/en/mp10xa-mp40xa.html				Necessário realizar teste
42	9	61441774	PNBOIA	39	MP101A	ROTRONIC	2	0	https://www.rotronic.com/media/catalog/product/cache/6/image/9df78eab33525d08d6e5fb8d27136e95/m/p/mp10xa_40xa.jpg	https://www.rotronic.com/en/productattachments/index/download?id=304	https://www.rotronic.com/en/mp10xa-mp40xa.html				Necessário realizar teste
